ID,plantID_1,plantID_2,plantID_3,plantID_4,plantID_5,plantID_6,plantID_8,plantID_9,animalsID_1,animalID_2,animalID_3,animalID_4,animalID_5,animalID_6,animalID_7,animalID_8,animalID_9,animalID_10,animalID_11,animalID_12,animalID_13,animalID_14
12106,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1
12109,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12110,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12111,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
12118,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
12119,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
12120,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
12127,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1
12128,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0
12129,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12130,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
12133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12134,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1
12138,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12139,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
12145,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
12146,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
12147,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1
12148,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1
12149,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12150,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
12151,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12157,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
12158,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0
12159,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
12161,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
12163,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12164,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
12165,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
